quiz_id;soal;benar;salah_1;salah_2;salah_3
2;Berikut adalah instrumen dan perangkat yang digunakan pada kegiatan Pemutakhiran Kerangka Geospasial dan Muatan Wilayah Kerja Statistik SE2026, kecuali..;Peta WB;Peta WA;SE2026-WILKERSTAT.IDSLS;Aplikasi Wilkerstat
2;Berikut merupakan cakupan kegiatan Pemutakhiran Kerangka Geospasial dan Muatan Wilayah Kerja Statistik Sensus Ekonomi 2026 yang tepat yaitu …;Seluruh SLS dan non-SLS di Indonesia;Seluruh SLS pada daerah Perkotaan;Seluruh SLS pada daerah pedesaan;Seluruh non-SLS dengan muatan Dominan 4
2;Yang termasuk ke dalam Bangunan Khusus Usaha (BKU) sebagai berikut, kecuali ....;Kantor Pemerintahan;BUMN seperti Kantor PLN, Bank BRI.;Sekolah dan rumah sakit;Usaha dengan lokasi tetap dan peralatan/perlengkapan usahanya tetap/ tidak dipindahkan
2;Ketentuan pembentukan sub-SLS sebagai berikut, kecuali ....;Memperhatikan muatan dan jenis blok sensus;Memperhatikan jumlah muatan sub-SLS berkisar 120-180;Jenis muatan dominan;Harus memperhatikan lokasi
2;Berikut pendekatan penghitungan muatan usaha yang benar, kecuali....;Untuk bangunan khusus usaha yang secara kasat mata hanya terlihat seperti satu bangunan, namun terdapat banyak plang usaha maka dihitung sebagai 1 BKU dan 1 perkiraan muatan usaha;Informasi jumlah perkiraan muatan usaha di mall/pertokoan/perkantoran bisa didapatkan dengan bertanya pada pengelola serta dengan validasi perhitungan dengan tally;Untuk bangunan tempat tinggal yang secara kasat mata terlihat memiliki usaha seperti warung, salon, atau terdapat baliho usaha, maka bangunan tersebut dihitung sebagai 1 BTT dan 1 perkiraan muatan usaha;Untuk bangunan yang teridentifikasi digunakan sebagai virtual office tanpa memberikan ruang fisik pada gedung yang sama, maka dihitung sebagai 1 BKU dengan 1 perkiraan muatan usaha
2;Salah satu pernyataan yang tepat mengenai tugas dan tanggung jawab petugas pendataan lapangan (pemetaan) pada kegiatan Pemutakhiran Kerangka Geospasial dan Muatan Wilayah Kerja Statistik SE2026 adalah...;Menghitung jumlah BTT, BBTT, BTT kosong, BKU, dan perkiraan muatan usaha yang secara kasat mata terlihat dalam SLS dengan tally;Melakukan penggambaran perubahan batas SLS pada Peta WA;Melakukan geotagging batas SLS hanya pada SLS yang mengalami perubahan batas SLS saja;Mengisi informasi perubahan SLS pada daftar IDSLS
2;Hal yang kurang tepat terkait tugas dan tanggung jawab petugas pendataan lapangan (pemetaan) saat mendapatkan tugas di wilayah konsentrasi ekonomi adalah...;Mengunjungi ketua SLS untuk meminta izin penelusuran wilayah konsentrasi ekonomi ;Menelusuri setiap lantai/area dan menghitung setiap tenant yang ada dengan tally menggunakan LK-Peta dan SE2026-WILKERSTAT.LKM;Meminta gambar denah dan informasi jumlah usaha/tenant kepada pengelola;Menggambarkan setiap segmen di LK-Peta
2;Berikut ini adalah instrumen yang digunakan oleh Petugas Pemeriksaan Lapangan (Pemetaan), kecuali...;SE2026-WILKERSTAT.LKM;SE2026-WILKERSTAT.RS;SE2026-WILKERSTAT.IDSLS;Peta WS
2;Salah satu tahapan dalam alur kerja Petugas Pemeriksaan Lapangan (Pemetaan) adalah membuat sub-SLS. Berikut adalah beberapa hal terkait pembentukan sub-SLS, kecuali..;Batas sub-SLS tidak perlu digambarkan pada peta WS;Sub-SLS dibentuk dari satu atau gabungan beberapa segmen;Sub-SLS dibentuk untuk SLS yang memiliki total muatan di atas 240 dengan muatan sub-SLS antara 120 - 180;Hasil pembentukan sub-SLS dIrekapitulasi pada dokumen SE2026-WILKERSTAT.RS
2;Instrumen berikut yang tidak perlu di scan pada kegiatan pemutakhiran wilkerstat SE2026 adalah …;Peta WB;Peta WA;Peta WS;LK-Peta
2;Berikut yang merupakan output kegiatan petugas pendataan lapangan, kecuali:;Dokumen SE2026-WILKERSTAT.RS yang sudah terisi;Project di Aplikasi Wilkerstat;Empat titik geotagging di batas SLS/non-SLS semua wilayah SLS/non-SLS;Dokumen SE2026-WILKERSTAT.LKM yang sudah terisi
2;Tujuan dari kegiatan rekonsiliasi adalah sebagai berikut, kecuali:;Memastikan seluruh petugas pendataan lapangan bisa login aplikasi wilkerstat;Memastikan tidak ada batas SLS/non-SLS yang saling tumpang tindih (overlap) antara batas SLS/non-SLS di peta WS satu dengan lainnya;Memastikan perubahan batas SLS sudah tergambar;Memastikan LK-Peta telah tergambar dan sesuai kondisi di lapangan
2;Pernyataan berikut yang paling tepat tentang Daftar SE2026-WILKERSTAT.IDSLS yaitu ...;Jika terdapat informasi SLS/non-SLS yang tidak ditemukan di lapangan karena wilayahnya masuk ke dalam wilayah desa di sebelahnya, maka pada Daftar SE2026-WILKERSTAT.IDSLS, isian kolom (7) dapat diisi kode '5' - Perubahan Kode SLS;Informasi mengenai perubahan SLS hanya dapat diperoleh dengan mengunjungi setiap ketua SLS setempat;Jika suatu SLS/non-SLS secara posisi pada peta dan batas wilayah tetap namun terjadi perubahan nama SLS, maka pada Daftar SE2026-WILKERSTAT.IDSLS , isian kolom (7) dapat diisi kode '6' - Perubahan Muatan SLS;SLS baru dapat ditambahkan meskipun tidak memiliki SLS induk di desa yang sama.
2;RT 003 (kode SLS 0003) mengalami pemekaran menjadi 2 RT yaitu RT 008 dan RT 009. Nomor urut SLS terbesar dalam desa tersebut yaitu 0007 . Pengisian Daftar SE2026-WILKERSTAT.IDSLS kolom sesudah perubahan yaitu .....;"RT 003 - nama SLS RT 008 dengan kode SLS 0008 
Tambah baris akhir - nama SLS RT 009 dengan kode SLS 0009 ";"RT 003 - nama SLS RT 008 dengan kode SLS 0003 
Tambah baris akhir - nama SLS RT 009 dengan kode SLS 0008";"RT 003 - nama SLS RT 003 dengan kode SLS 0003 
Tambah baris akhir - nama SLS RT 009 dengan kode SLS 0008";Tidak perlu menambahkan pemekaran SLS tersebut ke dalam Daftar SE2026 - WILKERSTAT.IDSLS
2;Jika terjadi pemekaran SLS disuatu desa, SLS RT 03 (kode SLS 0003) mengalami pemekaran menjadi RT 03 dan RT 09. Nomor urut SLS terbesar di desa tersebut adalah 0008. Bagaimana pengisian di Daftar PSLS-nya?;"Isian Wilayah SLS Sebelum Perubahan  di baris pertama dan kedua kol (1) s.d kol (7) wilayah RT 03, 
Isian baris pertama dan kedua kol (14) s.d (21) dikosongkan,
Wilayah SLS Setelah Perubahan 
kol (8) s.d kol (12) isian wilayah s.d desa 
baris pertama kol (13)=0003 kol(22)=RT 03,  kol(23)=terisi kol(24)=1, 
baris kedua kol (13)=0009 kol(22)=RT 09, kol(23)=terisi kol(24)=1";"Isian Wilayah SLS Sebelum Perubahan  di baris pertama dan kedua kol (1) s.d kol (7) wilayah RT03, 
Isian baris pertama dan kedua kol (14) s.d (21) dikosongkan,
Wilayah SLS Setelah Perubahan 
kol (8) s.d kol (12) isian wilayah s.d desa 
baris pertama kol (13)=0003 kol(22)=RT03,  kol(23)=terisi kol(24)=6, 
baris kedua kol (13)=0009 kol(22)=RT09, kol(23)=terisi kol(24)=1";"Isian Wilayah SLS Sebelum Perubahan  di kol (1) s.d kol (7) wilayah RT03, 
Isian kol (14) s.d (21) dikosongkan,
Wilayah SLS Setelah Perubahan 
kol (8) s.d kol (12) isian wilayah s.d desa 
kol (13)=0009 kol(22)=RT09, kol(23)=terisi kol(24)=1";"Isian Wilayah SLS Sebelum Perubahan  di kol (1) s.d kol (7) wilayah RT03, 
Isian kol (14) s.d (21) dikosongkan,
Wilayah SLS Setelah Perubahan 
kol (8) s.d kol (12) isian wilayah s.d desa 
kol (13)=0009 kol(22)=RT09, kol(23)=terisi kol(24)=5"
2;Isian Daftar PSLS kode kol(24)= 6, ketika SLS tersebut mengalami perubahan berikut:;SLS yang mengalami Perubahan Nama Ketua SLS;Wilayah SLS yang jumlah Bangunan Tempat Tinggal dan Bangunan Ekonomi bertambah;Wilayah SLS yang mengalami pemekaran SLS karena Bertambahnya Penduduk dan Bangunan;Bertambahnya Jumlah KK dan Penduduk di SLS 
2;Cara menghitung Total Muatan pada Kolom (11) SE2026-WILKERSTAT.LKM​ adalah...;Maks(KK, BTT) +  BTT Kosong + BBTT Non Usaha + Muatan Usaha;KK + BTT + BKU + Muatan Usaha;KK + BTT + BTT Kosong + BBTT Non Usaha + Maks(BKU, Muatan Usaha);KK + BTT +  BTT Kosong + BBTT Non Usaha + BKU + Muatan Usaha
2;Pernyataan berikut yang tepat tentang Daftar SE2026-WILKERSTAT.RS yaitu ...;Sumber data Rekap SLS yaitu SE2026-WILKERSTAT.LKM;Jika seluruh SLS/non-SLS pada suatu desa selesai maka selanjutnya rekap muatan SLS/non-SLS akan dituliskan pada dokumen SE2026-WILKERSTAT.RS per kecamatan;Rekap SLS pada daftar SE2026-WILKERSTAT.RS diisi oleh petugas pendataan lapangan (pemetaan);Hasil dari pembentukan sub-SLS yang dituliskan pada dokumen SE2026-WILKERSTAT.LKM tidak direkap pada dokumen SE2026-WILKERSTAT.RS
2;Jika terdapat pemekaran desa, bagaimanakah cara pengisian dokumen SE2026-WILKERSTAT.IDSLS, SE2026-WILKERSTAT.LKM, dan SE2026-WILKERSTAT.RS?;Mencetak dokumen sebanyak desa baru​ dan mencoret keterangan wilayah dan mengisikan dengan keterangan wilayah yang baru​;Mencetak dokumen kosong sebanyak desa baru dan mengisikan keterangan wilayah baru pada dokumen kosong;Pemekaran desa tidak diakomodir pada kegiatan Wilkerstat SE2026, sehingga tetap menggunakan master dan dokumen awal.;Mencatat keterangan wilayah baru pada dokumen wilayah induk
2;Pada kelengkapan layout peta, keterangan dari simbol yang terdapat pada peta disebut ...;Legenda;Inset;Skala;Identitas wilayah
2;Pernyataan yang tidak benar terkait penggunaan Peta WA adalah ...;Peta WA dibawa saat konfirmasi batas desa/kelurahan saat kunjungan ke Ketua SLS;Jika ada perubahan batas desa/kelurahan, perbaikan batas desa/kelurahan terkini digambarkan pada Peta WA;Perubahan batas SLS pada Peta WA digunakan sebagai informasi awal perbaikan batas SLS di Peta WS oleh Petugas Pendataan Lapangan;Jika saat konfirmasi batas terdapat penggabungan SLS, pada Peta WA batas SLS lama diberi tanda silang
2;Pernyataan berikut adalah kegunaan Peta WS bagi petugas pendataan lapangan, kecuali ...;menggambarkan kode dan batas sub SLS;mengenali cakupan wilayah tugas pendataan lapangan;menandai titik geotagging batas SLS dan wilayah konsentrasi ekonomi;menggambarkan perubahan/perbaikan batas SLS
2;Tahapan pertama kali yang dilakukan oleh Petugas Pendataan Lapangan saat penggambaran batas SLS di Peta WS adalah ...;melakukan konfirmasi batas SLS saat kunjungan ke Ketua SLS;menandai titik geotagging batas SLS;menggambarkan segmen dan kodenya;mengidentifikasi batas SLS di lapangan
2;LK-Peta merupakan salah satu instrumen yang digunakan menggambarkan sketsa peta pada …;bangunan bertingkat/pusatperbelanjaan/perkantoran;batas detail segmen pada permukiman padat penduduk;batas desa dan SLS secara utuh;Jalan dan gang yang terdapat pada permukiman
2;Aplikasi wilkerstat versi android memiliki fungsi antara lain, kecuali...;Mengedit poligon batas SLS;Mengetahui lokasi dan batas wilayah kerja statistik;Pengambilan posisi koordinat (geotagging) menggunakan kamera HP;Mengirimkan hasil geotagging ke server pusat
2;Yang bukan termasuk role admin BPS kabupaten/kota pada web aplikasi wilkerstat adalah …;Mengirimkan geotagging ke server;Membuat kode token untuk petugas non organik ;Memonitor progres kegiatan lapangan melalui website;Melakukan Register User Organik
2;"Yang dimaksud dengan ""Asset"" pada aplikasi wilkerstat adalah ..";semua jawaban benar; Master wilayah dari provinsi hingga desa;Informasi proyek; Informasi mengenai akun petugas
2;Spesifikasi minimum perangkat aplikasi wilkerstat mobile adalah...;Android Lolipop;Android Marshmalow;Android Oreo;Android KitKat
2;"Proses yang dapat digunakan saat akan memindahkan project ke aplikasi wilkerstat pada
perangkat lainnya atau berbagi project dengan tim lain yaitu";Import Project;Sinkronisasi Project;Unduh Assets;Backup Project
2;Role user wilkerstat sebagai berikut, kecuali...;Admin Kecamatan;Super Admin;Admin Provinsi;Petugas non organik
2;Melakukan pemeriksaan daftar SE2026-WILKERSTAT.LKM sebelum dilakukan rekapitulasi pada daftar SE2026-WILKERSTAT.RS. merupakan tugas dari;Petugas Pemeriksaan lapangan (Pemetaan);Petugas Pendataan Lapangan (Pemetaan);Admin BPS Kabupaten/Kota;Petugas Pengolahan
2;Yang merupakan tahapan pemeriksaan daftar SE2026-WILKERSTAT.LKM adalah ;semua jawaban benar;Pastikan segmen yang dituliskan pada dokumen SE2026-WILKERSTAT.LKM sama dengan yang digambarkan pada Peta WS​;Pastikan total jumlah muatan tiap kolom sudah dituliskan;Pastikan kewajaran jumlah muatan 
2;Berikut beberapa kondisi yang perlu diperhatikan dalam melakukan pemeriksaan kewajaran muatan, kecuali:;jika jumlah perkiraan muatan usaha sama dengan muatan BKU;Jika jumlah perkiraan muatan usaha lebih dari 2 kali lebih besar dari muatan BKU;Jika jumlah perkiraan Muatan BTT lebih dari 2 kali lebih besar/ kecil dari muatan KK​;Jika jumlah perkiraan BTT Kosong lebih dari 2 kali lebih besar dari BTT/ BKU
